id	class	text
2823	error	bad return type for 'operator new'.  Expected 'void _based(void)*'
2824	error	bad return type for 'operator new'.  Expected 'void*'
2830	error	only placement arguments to 'operator new' may default
2831	error	'operator %Fs' may not have default arguments
2901	error	too many symbols predefined with /D
2902	error	conflict in memory-model specification
2903	error	missing source file name
2908	error	limit of %s exceeded at '%s'
2911	error	only one floating-point option allowed
2912	error	too many linker flags on command line
2913	error	incomplete model specification
2916	error	'%s' and '%s' are incompatible
2918	error	cannot open linker response file
2919	error	cannot overwrite the source/object file, '%s'
2920	error	%s option requires extended keywords to be enabled (/Ze)
2921	error	invalid numerical argument '%s'
2922	error	cannot open help file, '%s'
2927	error	could not execute '%s', status %d
2928	error	too many open files, cannot redirect '%s'
2930	error	INTERNAL COMPILER ERROR in '%s'\n\t\tContact Microsoft Product Support Services
2931	error	too many flags/files on command line
4000	warning	UNKNOWN WARNING\n\t\tContact Microsoft Product Support Services
4001	warning	nonstandard extension used - '%Fs'
4002	warning	too many actual parameters for macro '%s'
4003	warning	not enough actual parameters for macro '%s'
4004	warning	missing ')' after 'defined'
4005	warning	'%s' : macro redefinition
4006	warning	#undef expected an identifier
4007	warning	'%Fs' : must be '%Fs'
4008	warning	'%Fs' : '%Fs' attribute on data ignored
4009	warning	string too big, trailing characters truncated
4011	warning	identifier truncated to '%Fs'
4012	warning	float constant in a cross compilation
4015	warning	'%Fs' : type of bit field must be integral
4016	warning	'%s' : no function return type, using int as default
4017	warning	cast of int expression to far pointer
4018	warning	'%Fs' : signed/unsigned mismatch
4020	warning	'%Fs' : too many actual parameters
4021	warning	'%Fs' : too few actual parameters
4022	warning	'%Fs' : pointer mismatch : parameter %d
4023	warning	'%Fs' : _based pointer passed to unprototyped function : parameter %d
4024	warning	'%Fs' : different types : parameter %d
4026	warning	function declared with formal argument list
4027	warning	function declared without formal argument list
4028	warning	parameter %d declaration different
4029	warning	declared parameter list different from definition
4030	warning	first parameter list longer than the second
4031	warning	second parameter list longer than the first
4032	warning	unnamed struct/union as parameter
4033	warning	function must return a value
4034	warning	sizeof returns 0
4035	warning	'%Fs' : no return value
4036	warning	unnamed %s as parameter
4040	warning	memory attribute on '%Fs' ignored
4042	warning	'%Fs' : has bad storage class
4044	warning	_huge on '%Fs' ignored, must be an array
4045	warning	'%s' : array bounds overflow
4047	warning	'%s' : different levels of indirection
4048	warning	array's declared subscripts different
4049	warning	'%s' : indirection to different types
4050	warning	'%s' : different code attributes
4051	warning	type conversion - possible loss of data
4053	warning	at least one void operand
4056	warning	overflow in constant arithmetic
4058	warning	address of automatic (local) variable taken, DS != SS
4059	warning	segment lost in conversion
4061	warning	long/short mismatch in argument : conversion supplied
4062	warning	near/far mismatch in argument : conversion supplied
4067	warning	unexpected characters following '%s' directive - newline expected
4068	warning	unknown pragma
4069	warning	conversion of near pointer to long integer
4071	warning	'%Fs' : no function prototype given
4072	warning	'%Fs' : no function prototype on _fastcall function
4076	warning	'%s' : may be used on integral types only
4077	warning	unknown check_stack option
4078	warning	case constant '%ld' too big for the type of switch expression
4079	warning	unexpected token '%s'
4080	warning	expected identifier for segment name, found '%s'
4081	warning	expected a comma, found '%s'
4082	warning	expected an identifier, found '%s'
4083	warning	expected '(', found '%s'
4084	warning	expected a pragma directive, found '%s'
4085	warning	expected [on | off]
4086	warning	expected [1 | 2 | 4]
4087	warning	'%Fs' : declared with void parameter list
4088	warning	'%Fs' : pointer mismatch : parameter %d, parameter list %d
4089	warning	'%Fs' : different types : parameter %d, parameter list %d
4090	warning	different 'const/volatile' qualifiers
4091	warning	no symbols were declared
4092	warning	untagged enum/struct/union declared no symbols
4093	warning	unescaped newline in character constant in inactive code
4094	warning	untagged %s declared no symbols
4095	warning	expected ')', found '%s'
4096	warning	'%Fs' must be used with '%Fs'
4098	warning	void function returning a value
4100	warning	'%Fs' : unreferenced formal parameter
4101	warning	'%Fs' : unreferenced local variable
4102	warning	'%Fs' : unreferenced label
4104	warning	'%s' : near data in same_seg pragma, ignored
4105	warning	'%Fs' : code modifiers only on function or pointer to function
4106	warning	pragma requires integer between 1 and 127
4107	warning	pragma requires integer between 15 and 255
4108	warning	pragma requires integer between 79 and 132
4109	warning	unexpected identifier '%s'
4110	warning	unexpected token 'int constant'
4111	warning	unexpected token 'string'
4112	warning	macro name '%s' is reserved, '%s' ignored
4113	warning	function parameter lists differed
4114	warning	same type qualifier used more than once
4115	warning	'%Fs' : type definition in formal parameter list
4116	warning	(no tag) : type definition in formal parameter list
4118	warning	pragma not supported
4119	warning	different bases '%Fs' and '%Fs' specified
4120	warning	_based/unbased mismatch
4123	warning	different base expressions specified
