index	virtual_address	value	type	pad	stored	validated
37	0x000101d2	0x00080461	3	0	0x00090461	True
38	0x000101d8	0x000800e0	3	0	0x000900e0	True
39	0x000101e5	0x000800b8	3	0	0x000900b8	True
40	0x000101ea	0x00080464	3	0	0x00090464	True
41	0x000101ef	0x0008046b	3	0	0x0009046b	True
42	0x000101f4	0x0008046d	3	0	0x0009046d	True
43	0x000101fa	0x000800e0	3	0	0x000900e0	True
44	0x00010207	0x000800c8	3	0	0x000900c8	True
45	0x0001020c	0x00080470	3	0	0x00090470	True
46	0x00010211	0x00080478	3	0	0x00090478	True
47	0x00010216	0x0008047a	3	0	0x0009047a	True
48	0x0001021c	0x000800e0	3	0	0x000900e0	True
49	0x00010229	0x000800c0	3	0	0x000900c0	True
50	0x0001022e	0x0008047d	3	0	0x0009047d	True
51	0x00010233	0x00080481	3	0	0x00090481	True
52	0x00010238	0x00080483	3	0	0x00090483	True
53	0x0001023e	0x000800e0	3	0	0x000900e0	True
54	0x0001024b	0x000800b4	3	0	0x000900b4	True
55	0x00010250	0x00080486	3	0	0x00090486	True
56	0x00010255	0x0008048f	3	0	0x0009048f	True
57	0x0001025a	0x00080491	3	0	0x00090491	True
58	0x00010260	0x000800e0	3	0	0x000900e0	True
59	0x0001026d	0x000800bc	3	0	0x000900bc	True
60	0x00010272	0x00080494	3	0	0x00090494	True
61	0x00010277	0x0008049c	3	0	0x0009049c	True
62	0x0001027c	0x0008049e	3	0	0x0009049e	True
63	0x00010282	0x000800e0	3	0	0x000900e0	True
64	0x0001028f	0x000800c4	3	0	0x000900c4	True
65	0x00010295	0x00080180	3	0	0x00090180	True
66	0x0001029d	0x000804a1	3	0	0x000904a1	True
67	0x000102a2	0x000804ac	3	0	0x000904ac	True
68	0x000102a7	0x000804ae	3	0	0x000904ae	True
69	0x000102ad	0x000800e0	3	0	0x000900e0	True
70	0x000102ba	0x000800cc	3	0	0x000900cc	True
71	0x000102c0	0x000800e8	3	0	0x000900e8	True
72	0x000102e6	0x000800dc	3	0	0x000900dc	True
73	0x00010316	0x00080124	3	0	0x00090124	True
74	0x00010323	0x00080110	3	0	0x00090110	True
75	0x00010328	0x0008010c	3	0	0x0009010c	True
76	0x0001032d	0x00080108	3	0	0x00090108	True
77	0x00010332	0x00080100	3	0	0x00090100	True
78	0x00010338	0x00080108	3	0	0x00090108	True
79	0x00010341	0x0008010c	3	0	0x0009010c	True
